artists,headliner,stage,time,date
WizKid,true,Main,23:00-23:45,07.07.2023
2Rare,false,Secondary,15:30-16:00,07.07.2023
Ayra Starr,false,Main,15:30-16:00,07.07.2023
Bktherula,false,Secondary,16:15-16:45,07.07.2023
Bonez MC & RAF Camora,false,Main,22:15-22:45,07.07.2023
Fireboy DML,false,Secondary,16:15-16:45,07.07.2023
JELEEL!,false,Main,21:30-22:00,07.07.2023
KayCyy,false,Secondary,20:45-21:15,07.07.2023
Kodak Black,false,Main,21:30-22:00,07.07.2023
Lakeyah,false,Secondary,20:00-20:30,07.07.2023
LAYLA,false,Main,19:15-19:45,07.07.2023
Lil Uzi Vert,false,Secondary,20:45-21:15,07.07.2023
Luh Tyler,false,Main,17:45-18:15,07.07.2023
Mariah the Scientist,false,Secondary,17:00-17:30,07.07.2023
Meechy Darko,false,Main,17:00-17:30,07.07.2023
M Huncho,false,Secondary,17:45-18:15,07.07.2023
Sheck Wes,false,Main,18:30-19:00,07.07.2023
Soulja Boy,false,Secondary,19:15-19:45,07.07.2023
TiaCorine,false,Main,18:30-19:00,07.07.2023
Ufo361,false,Secondary,20:00-20:30,07.07.2023
Kendrick Lamar,true,Main,23:00-23:45,08.07.2023
Chow Lee,false,Secondary,15:30-16:00,08.07.2023
Xavier Wulf,false,Main,15:30-16:00,08.07.2023
Cochise,false,Secondary,16:15-16:45,08.07.2023
Central Cee,false,Main,22:15-22:45,08.07.2023
$not,false,Secondary,16:15-16:45,08.07.2023
Eddy Baker,false,Main,21:30-22:00,08.07.2023
Kxllswxtch,false,Secondary,20:45-21:15,08.07.2023
Metro Boomin,false,Main,21:30-22:00,08.07.2023
Hoosh,false,Secondary,20:00-20:30,08.07.2023
Eem Triplin,false,Main,19:15-19:45,08.07.2023
Luciano,false,Secondary,20:45-21:15,08.07.2023
Drownmili,false,Main,17:45-18:15,08.07.2023
Lil Durk,false,Secondary,17:00-17:30,08.07.2023
Night Lovell,false,Main,17:00-17:30,08.07.2023
Glorilla,false,Secondary,17:45-18:15,08.07.2023
Coi Leray,false,Main,18:30-19:00,08.07.2023
J.I.D,false,Secondary,19:15-19:45,08.07.2023
Robb Bank$,false,Main,18:30-19:00,08.07.2023
Fat Nick,false,Secondary,20:00-20:30,08.07.2023
Travis Scott,true,Main,23:00-23:45,09.07.2023
Danny Towers,false,Secondary,15:30-16:00,09.07.2023
Homixide Gang,false,Main,16:15-16:45,09.07.2023
Rae Sremmurd,false,Secondary,22:15-22:45,09.07.2023
Destroy Lonely,false,Main,16:15-16:45,09.07.2023
K. Charles,false,Secondary,21:30-22:00,09.07.2023
Lola Brooke,false,Main,20:45-21:15,09.07.2023
Ski Mask the Slump God,false,Secondary,21:30-22:00,09.07.2023
Skaiwater,false,Main,20:00-20:30,09.07.2023
Dante YN,false,Secondary,19:15-19:45,09.07.2023
Gucci Mane,false,Main,20:45-21:15,09.07.2023
Sainté,false,Secondary,17:45-18:15,09.07.2023
Latto,false,Main,17:00-17:30,09.07.2023
reezy,false,Secondary,17:00-17:30,09.07.2023
Lancey Foux,false,Main Stage,17:45-18:15,09.07.2023
Ken Carson,false,Main Stage,18:30-19:00,09.07.2023
Miksu/Macloud,false,Main Stage,19:15-19:45,09.07.2023
Lucki,false,Secondary Stage,18:30-19:00,09.07.2023
Joey Bada$$,false,Main Stage,20:00-20:30,09.07.2023
